room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Private room,SOUTHEAST,MAHOGANY,0,,2,1,79,1
Private room,NORTHEAST,WHITEHORN,0,,1,1,33,1
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,4.5,4,2,95,5
Private room,WEST,SPRUCE CLIFF,2,,2,1,53,1
Entire home/apt,CENTRE,SUNNYSIDE,11,5,4,2,100,2
Entire home/apt,CENTRE,ELBOW PARK,6,4,3,1,88,3
Entire home/apt,NORTH,THORNCLIFFE,73,5,4,1,63,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,2,,4,2,143,4
Entire home/apt,CENTRE,BELTLINE,1,,4,2,191,5
Entire home/apt,CENTRE,BELTLINE,1,,4,2,245,2
Entire home/apt,CENTRE,HILLHURST,0,,8,4,280,3
Private room,NORTHWEST,ARBOUR LAKE,0,,1,1,28,1
Private room,NORTH,THORNCLIFFE,171,4.5,2,1,32,1
Entire home/apt,NORTH,THORNCLIFFE,0,,4,1,75,1
Private room,NORTHEAST,SADDLE RIDGE,5,3.5,6,1,45,1
Entire home/apt,NORTHWEST,COLLINGWOOD,5,5,4,2,60,1
Private room,NORTHWEST,ARBOUR LAKE,5,5,2,1,23,1
Entire home/apt,CENTRE,ERLTON,0,,4,2,464,4
Entire home/apt,CENTRE,BELTLINE,3,5,4,2,144,1
Entire home/apt,CENTRE,EAU CLAIRE,0,,2,2,100,1
Entire home/apt,CENTRE,RAMSAY,11,4.5,4,2,64,7
Entire home/apt,CENTRE,HILLHURST,3,5,2,1,47,3
Private room,NORTH,COVENTRY HILLS,0,,1,1,24,2
Private room,SOUTH,SILVERADO,0,,2,1,56,2
Entire home/apt,CENTRE,RAMSAY,3,5,4,2,279,3
Private room,EAST,FOREST HEIGHTS,0,,2,1,20,1
Entire home/apt,EAST,SOUTHVIEW,3,4.5,4,1,53,2
Entire home/apt,NORTHWEST,ROYAL OAK,17,4.5,8,3,172,3
Entire home/apt,SOUTH,HAYSBORO,21,5,4,0,56,1
Private room,CENTRE,SOUTH CALGARY,1,,2,1,56,1
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,820,1
Entire home/apt,CENTRE,SHAGANAPPI,0,,3,1,47,1
Private room,SOUTH,WALDEN,0,,2,1,80,1
Entire home/apt,CENTRE,BELTLINE,0,,3,1,96,3
Private room,CENTRE,UPPER MOUNT ROYAL,13,4.5,5,1,85,3
Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,143,2
